타임스탬프,나이,성별,직업,1. 한 달에 받는 용돈의 금액은 얼마인가요?(만동= 500원), 2. 용돈을 주로 어디에 사용하시나요?  ,3. 용돈을 일부 저축하나요?  ,4. 가끔 과소비를 한 경험이 있나요?  ,4-1. 구체적으로 어디에 과소비를 하셨나요?(위 항목에서 '예' 하신 분들만),5. 용돈을 사용할 때 미리 계획을 세우고 사용하시나요?  ,6. 금융 관련 지식을 얼마나 잘 알고 계신가요?  
11-14-2024 21:10:02,14~19,남성,학생,내가 벌어서 쓴다,음식,예,아니오,,아니오,알고 있으나 실천하지 않는다
11-14-2024 21:15:20,14~19,남성,학생,100만동 이상,취미,예,아니오,,예,알고 있으나 실천하지 않는다
11-14-2024 21:19:24,14~19,남성,학생,필요한 만큼,음식,아니오,예,굿즈나… 게임?,아니오,알고 있으나 실천하지 않는다
11-14-2024 21:22:05,14~19,남성,학생,100만동 이상,친구와 놀 때,예,예,귀중품에 ex) 시계,예,모른다
11-14-2024 21:29:22,14~19,남성,학생,내가 벌어서 쓴다,음식,예,아니오,,아니오,알고 있으나 실천하지 않는다
11-14-2024 21:43:55,20~26,여성,학생,100만동 이상,음식,예,예,"쇼핑, 음식",아니오,알고 있으나 실천하지 않는다
11-14-2024 21:53:57,14~19,남성,학생,30만동~40만동,음식,예,예,배달음식 친구와 놀 때,아니오,알고 있으나 실천하지 않는다
11-14-2024 22:08:05,14~19,남성,학생,100만동 이상,취미,아니오,예,콜라보할때나 코믹월드에 주로 과소비를 했습니다,예,모른다
11-14-2024 22:09:23,14~19,남성,학생,100만동 이상,친구와 놀 때,예,예,밥 음식 게임,아니오,상당히 잘 알고 있다
11-14-2024 22:09:55,14~19,남성,학생,100만동 이상,친구와 놀 때,예,예,편의점,아니오,모른다
11-14-2024 22:55:50,14~19,여성,학생,100만동 이상,취미,아니오,예,굳즈 사거나 친구들이랑 놀러갈때,예,알고 있으나 실천하지 않는다
11-14-2024 23:07:07,20~26,남성,학생,10만동~20만동,교통비,예,아니오,,예,모른다
11-14-2024 23:10:47,14~19,남성,학생,50만동~60만동,데이트,아니오,아니오,,아니오,알고 있으나 실천하지 않는다
11-14-2024 23:22:53,14~19,여성,학생,70만동~80만동,쇼핑,아니오,예,shopee,아니오,모른다
11-14-2024 23:29:56,14~19,여성,학생,90만동~100만동,쇼핑,예,예,옷집,예,상당히 잘 알고 있다
11-14-2024 23:43:09,20~26,남성,대학생,필요한 만큼,절략하다,예,예,토픽 시험 등록을 위해 돈을 썼습니다.,예,모른다
11-14-2024 23:45:02,14~19,여성,학생,필요한 만큼,친구와 놀 때,예,예,사고 싶은 게 생겼을 때,아니오,알고 있으나 실천하지 않는다
11-14-2024 23:51:18,14~19,남성,학생,필요한 만큼,교통비,아니오,예,게임 현질,예,모른다
11-14-2024 23:59:17,20~26,남성,대학생,10만동~20만동,음식,예,예,필요하지 않는 물건 ,예,상당히 잘 알고 있다
11-15-2024 0:02:40,14~19,남성,학생,90만동~100만동,친구와 놀 때,예,예,현질,아니오,알고 있으나 실천하지 않는다
11-15-2024 0:25:39,14~19,여성,학생,100만동 이상,친구와 놀 때,아니오,예,인터넷 쇼핑,아니오,알고 있으나 실천하지 않는다
11-15-2024 0:34:25,20~26,남성,학생,100만동 이상,취미,아니오,예,강지 굿즈랑 하는 게임 픽업때 중복으로 썼다가 피본적이 있습니다,예,알고 있으나 실천하지 않는다
11-15-2024 1:09:20,14~19,여성,학생,100만동 이상,쇼핑,예,예,옷/화장품,아니오,모른다
11-15-2024 1:25:34,14~19,남성,학생,필요한 만큼,음식,예,예,간식 사먹을때,아니오,알고 있으나 실천하지 않는다
11-15-2024 2:18:32,14~19,남성,학생,필요한 만큼,음식,아니오,예,옷 쇼핑,아니오,알고 있으나 실천하지 않는다
11-15-2024 5:13:13,14~19,남성,학생,10만동~20만동,친구와 놀 때,예,예,취미활동,아니오,모른다
11-15-2024 5:15:39,14~19,남성,학생,100만동 이상,취미,예,예,취미활동,아니오,모른다
11-15-2024 5:23:13,20~26,남성,백수,30만동~40만동,취미,아니오,예,취미생활할때,아니오,모른다
11-15-2024 6:30:23,20~26,남성,직장인,내가 벌어서 쓴다,취미,아니오,예,스텔라이브 굿즈나 게임현질,아니오,모른다
11-15-2024 7:40:15,14~19,여성,학생,100만동 이상,덕질,예,예,굿즈,아니오,알고 있으나 실천하지 않는다
11-15-2024 10:08:42,14~19,여성,학생,100만동 이상,쇼핑,예,예,옷을 산다,예,모른다
11-15-2024 10:15:14,14~19,남성,학생,100만동 이상,친구와 놀 때,아니오,예,쇼핑,아니오,알고 있으나 실천하지 않는다
11-15-2024 15:43:11,14~19,여성,학생,필요한 만큼,음식,예,아니오,,예,모른다
11-15-2024 15:54:56,14~19,남성,학생,100만동 이상,음식,예,예,데이트,예,알고 있으나 실천하지 않는다
11-15-2024 16:41:27,14~19,여성,학생,100만동 이상,음식,아니오,예,"옷, 화장품, 음식",아니오,알고 있으나 실천하지 않는다
11-15-2024 18:53:14,14~19,남성,학생,10만동~20만동,교통비,아니오,예,음식,아니오,알고 있으나 실천하지 않는다
11-15-2024 19:15:52,14~19,남성,학생,70만동~80만동,음식,아니오,예,쇼핑,아니오,모른다
11-15-2024 20:07:55,14~19,여성,학생,10만동~20만동,친구와 놀 때,예,예,갖고 싶은 한정품,예,알고 있으나 실천하지 않는다
11-15-2024 20:26:32,14~19,여성,학생,50만동~60만동,친구와 놀 때,아니오,예,옷을 많이 샀다 ㅠ,아니오,알고 있으나 실천하지 않는다
11-15-2024 21:10:36,14~19,여성,학생,100만동 이상,친구와 놀 때,예,아니오,,아니오,알고 있으나 실천하지 않는다
11-15-2024 21:51:26,14~19,여성,학생,100만동 이상,쇼핑,아니오,예,"옷, 화장품",예,알고 있으나 실천하지 않는다
11-15-2024 22:04:02,14~19,여성,학생,100만동 이상,음식,아니오,예,식사,아니오,알고 있으나 실천하지 않는다
11-16-2024 22:39:04,14~19,여성,학생,30만동~40만동,음식,예,예,굿즈,아니오,알고 있으나 실천하지 않는다
11-16-2024 22:40:11,14~19,여성,학생,90만동~100만동,음식,예,예,"굿즈, 게임현질, 펀딩",아니오,알고 있으나 실천하지 않는다
11-17-2024 23:06:04,8~13,여성,학생,30만동~40만동,친구와 놀 때,예,아니오,,예,모른다
11-17-2024 23:06:43,20~26,여성,직장인,필요한 만큼,쇼핑,예,아니오,,예,모른다
11-17-2024 23:07:14,27~40,여성,직장인,내가 벌어서 쓴다,교통비,예,아니오,,예,상당히 잘 알고 있다
11-17-2024 23:07:43,20~26,여성,학생,100만동 이상,게임 현질,아니오,아니오,,아니오,알고 있으나 실천하지 않는다
11-17-2024 23:08:33,40 이상,여성,주부,필요한 만큼,음식,예,아니오,,아니오,상당히 잘 알고 있다
11-17-2024 23:09:48,20~26,여성,학생,70만동~80만동,교통비,아니오,아니오,,아니오,상당히 잘 알고 있다
11-17-2024 23:10:07,20~26,여성,학생,70만동~80만동,취미,아니오,아니오,,아니오,알고 있으나 실천하지 않는다
11-17-2024 23:10:29,20~26,여성,학생,70만동~80만동,친구와 놀 때,아니오,아니오,,아니오,모른다
11-17-2024 23:12:08,27~40,여성,학생,30만동~40만동,쇼핑,아니오,아니오,,예,모른다
11-17-2024 23:12:33,27~40,남성,학생,30만동~40만동,친구와 놀 때,아니오,아니오,,예,알고 있으나 실천하지 않는다
11-17-2024 23:12:53,27~40,남성,학생,30만동~40만동,게임 현질,아니오,아니오,,예,상당히 잘 알고 있다
11-17-2024 23:14:36,27~40,여성,직장인,70만동~80만동,취미,아니오,아니오,,예,알고 있으나 실천하지 않는다
